"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J13,J10,J14,J16,J15,J12,J11,J17";"TE_282837-2";8;"Conn_01x02_Pin";;;
2;"TP1,TP4,TP3,TP5,TP2,TP8,TP7";"TestPoint_Pad_1.5x1.5mm";7;"TestPoint";;;
3;"U5";"DIP762W46P254L1969H533Q16";1;"ULN2003A";;;
4;"SW1,SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW_Push";;;
5;"D5";"LED_AAA3528LSEKJ3ZGKQBKS";1;"LED_ARGB";;;
6;"U10,U9,U6,U11,U7,U12,U8";"SIP-4_DMO";7;"ASSR-1218";;;
7;"J8,J3";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08_Pin";;;
8;"J4";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
9;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
10;"U13";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
11;"R1,R6,R9,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"470";;;
12;"C7";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"22uF";;;
13;"CON1";"MIKROBUS_HOST_CONN";1;"MIKROBUS_HOST_CONN";;;
14;"J18,J1";"PinSocket_1x03_P2.54mm_Vertical";2;"Conn_01x03_Pin";;;
15;"J6";"PinSocket_1x06_P2.54mm_Horizontal";1;"Conn_01x06_Pin";;;
16;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"200";;;
17;"C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10uf";;;
18;"F1,F3,F2";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"Fuse";;;
19;"U4";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
20;"R3,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"12K";;;
21;"J9";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
22;"J2";"PinSocket_1x03_P2.54mm_Horizontal";1;"Conn_01x03_Pin";;;
23;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10uF";;;
24;"C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"22uf";;;
25;"D4";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"Power LED";;;
